Moves,Codes
 Polish (Sokolsky) opening, b4
" Polish, Tuebingen variation", b4 Nh6
" Polish, Outflank variation", b4 c6
 Benko's opening, g3
 Lasker simul special, g3 h5
" Benko's opening, reversed Alekhine", g3 e5 2. Nf3
 Grob's attack, g4
" Grob, spike attack", g4 d5 2. Bg2 c6 3. g5
" Grob, Fritz gambit", g4 d5 2. Bg2 Bxg4 3. c4
" Grob, Romford counter-gambit", g4 d5 2. Bg2 Bxg4 3. c4 d4
" Clemenz (Mead's, Basman's or de Klerk's) opening", h3
 Global opening, h3 e5 2. a3
 Amar (Paris) opening, Nh3
 Amar gambit, Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4
" Dunst (Sleipner, Heinrichsen) opening", Nc3
" Dunst (Sleipner,Heinrichsen) opening", Nc3 e5
 Battambang opening, Nc3 e5 2. a3
 Novosibirsk opening, Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4
 Anderssen's opening, a3
 Ware (Meadow Hay) opening, a4
 Crab opening, a4 e5 2. h4
 Saragossa opening, c3
 Mieses opening, d3
 Mieses opening, d3 e5
 Valencia opening, d3 e5 2. Nd2
 Venezolana opening, d3 c5 2. Nc3 Nc6 3. g3
 Van't Kruijs opening, e3
 Amsterdam attack, e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
 Gedult's opening, f3
 Hammerschlag (Fried fox/Pork chop opening), f3 e5 2. Kf2
 Anti-Borg (Desprez) opening, h4
 Durkin's attack, Na3
 Nimzovich-Larsen attack, b3
" Nimzovich-Larsen attack, modern variation", b3 e5
" Nimzovich-Larsen attack, Indian variation", b3 Nf6
" Nimzovich-Larsen attack, classical variation", b3 d5
" Nimzovich-Larsen attack, English variation", b3 c5
" Nimzovich-Larsen attack, Dutch variation", b3 f5
" Nimzovich-Larsen attack, Polish variation", b3 b5
" Nimzovich-Larsen attack, symmetrical variation", b3 b6
" Modern defence, Averbakh system", d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4
 Pterodactyl defence, d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 c5 5. Nf3 Qa5
" Modern defence, Averbakh system, Randspringer variation", d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 f5
" Modern defence, Averbakh system, Kotov variation", d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4 Nc6
 Queen's Indian defence, d4 Nf6 2. Nf3 b6
" Queen's Indian, Marienbad system", d4 Nf6 2. Nf3 b6 3. g3 Bb7 4. Bg2 c5
" Queen's Indian, Marienbad system, Berg variation", d4 Nf6 2. Nf3 b6 3. g3 Bb7 4. Bg2 c5 5. c4 cxd4 6. Qxd4
 Queen's pawn game, d4 Nf6 2. c4
 Kevitz-Trajkovich defence, d4 Nf6 2. c4 Nc6
 Queen's Indian accelerated, d4 Nf6 2. c4 b6
 Benoni defence, d4 Nf6 2. c4 c5
" Benoni defence, Hromodka system", d4 Nf6 2. c4 c5 3. d5 d6
 Vulture defence, d4 Nf6 2. c4 c5 3. d5 Ne4
 Czech Benoni defence, d4 Nf6 2. c4 c5 3. d5 e5
" Czech Benoni, King's Indian system", d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 g6
 King's pawn opening, e4
 Hippopotamus defence, e4 Nh6 2. d4 g6 3. c4 f6
 Corn stalk defence, e4 a5
 Lemming defence, e4 Na6
 Fred, e4 f5
 Barnes defence, e4 f6
 Fried fox defence, e4 f6 2. d4 Kf7
 Carr's defence, e4 h6
 Reversed Grob (Borg/Basman defence/macho Grob), e4 g5
 St. George (Baker) defence, e4 a6
 Owen defence, e4 b6
 Guatemala defence, e4 b6 2. d4 Ba6
" KP, Nimzovich defence", e4 Nc6
" KP, Nimzovich defence, Wheeler gambit", e4 Nc6 2. b4 Nxb4 3. c3 Nc6 4. d4
" KP, Nimzovich defence", e4 Nc6 2. Nf3
" KP, Colorado counter", e4 Nc6 2. Nf3 f5
" KP, Nimzovich defence", e4 Nc6 2. d4
" KP, Nimzovich defence, Marshall gambit", e4 Nc6 2. d4 d5 3. exd5 Qxd5 4. Nc3
